id,empid,memid,empdate,status
76,12,23,2019-01-01,A
77,58,66,2019-07-01,A
78,59,67,2019-07-01,A
79,60,68,2019-07-01,A
80,61,69,2019-07-01,A
81,20,70,2019-07-01,A
82,62,71,2019-07-01,A
83,63,72,2019-07-01,A
84,64,73,2019-07-01,A
85,65,74,2019-07-01,A
86,66,75,2019-07-01,S
87,67,76,2019-07-01,A
88,68,77,2019-07-01,A
89,58,78,2019-07-01,A
90,69,79,2019-07-01,A
91,70,80,2019-07-01,A
92,46,81,2019-07-01,A
93,71,82,2019-07-01,A
94,72,83,2019-07-01,A
95,73,84,2019-07-01,A
96,74,85,2019-07-01,A
97,75,86,2019-07-01,A
98,76,87,2019-07-01,A
99,77,88,2019-07-01,A
100,78,89,2019-07-01,A
101,79,90,2019-07-01,A
102,80,91,2019-07-01,A
103,81,92,2019-07-01,A
104,82,93,2019-07-01,A
105,83,94,2019-07-01,A
106,84,95,2019-07-01,A
107,85,96,2019-07-01,A
108,86,97,2019-07-01,A
109,87,98,2019-07-01,A
110,88,99,2019-07-01,A
111,89,100,2019-07-01,A
112,90,101,2019-07-01,A
113,91,102,2019-07-01,A
114,92,103,2019-07-01,A
115,94,104,1993-10-26,A
116,93,105,2007-07-01,A
117,95,106,2019-07-01,A
118,94,107,2019-07-01,A
119,96,108,2019-07-01,A
120,97,109,2019-07-01,A
121,98,110,2019-07-01,A
122,100,111,2003-07-22,A
123,99,112,2019-07-01,A
124,101,113,2002-01-01,A
125,102,114,2012-10-01,A
126,103,115,2019-07-01,A
127,104,116,2019-07-01,A
128,104,117,2019-07-01,A
129,105,118,2019-07-01,A
130,106,119,2019-07-01,A
131,107,120,2019-07-01,A
132,108,121,2019-07-01,S
133,109,122,2019-07-01,A
134,26,123,2019-07-01,A
135,4,124,2015-05-08,S
136,110,125,2008-08-01,A
137,111,126,2017-12-06,A
138,112,127,1998-01-04,A
139,113,128,2001-08-02,A
140,114,129,2009-09-01,A
141,115,130,2012-10-10,A
142,116,131,2019-07-01,A
143,117,132,2015-05-15,A
144,118,133,2009-06-28,A
145,119,134,2011-07-03,A
146,120,135,2013-10-09,A
147,122,136,2018-10-31,A
148,121,137,1996-07-01,A
149,123,138,2015-11-15,A
150,124,139,2010-07-01,A
151,125,140,2008-10-08,A
152,126,141,2000-07-01,A
153,127,142,2007-07-10,A
154,128,143,2018-04-15,A
155,129,144,2010-03-14,A
156,130,145,2017-09-03,A
157,131,146,1990-01-01,A
158,132,147,2006-02-16,A
159,133,148,1992-01-01,A
160,134,149,1982-01-01,A
161,135,150,1989-01-31,A
162,136,151,2007-07-15,A
163,137,152,2019-07-01,A
164,140,153,2019-07-01,A
165,138,154,2019-07-01,A
166,139,155,2011-07-01,A
167,141,156,2003-05-01,A
168,142,157,2019-07-01,A
169,143,158,2019-07-01,A
170,144,159,2017-05-01,A
171,145,160,2019-07-01,A
172,146,161,2019-07-01,A
173,146,162,2019-07-01,A
174,147,163,2019-07-01,A
175,148,164,2019-07-01,A
176,149,165,2019-07-01,A
177,150,166,2019-07-01,A
178,151,167,2019-07-01,A
179,152,168,2019-07-01,A
180,152,169,2019-07-01,A
181,153,170,2019-07-01,A
182,152,171,2019-07-01,A
183,154,172,2019-07-01,A
184,155,173,2019-07-01,A
185,156,174,2019-07-01,A
186,157,175,2019-07-01,A
187,159,176,2019-07-01,A
188,158,177,2019-07-01,A
189,160,178,2019-07-01,A
190,161,179,2019-07-01,A
191,162,180,2019-07-01,A
192,163,181,2019-07-01,A
193,164,182,2019-07-01,A
194,165,183,2019-07-01,A
195,166,184,2019-07-01,A
196,167,185,2019-07-01,A
197,168,186,2019-07-01,A
198,168,187,2019-07-01,A
199,169,188,2019-07-01,A
200,170,189,2019-07-01,A
201,171,190,2019-07-01,A
202,172,191,2019-07-01,A
203,173,192,2019-07-01,A
204,174,193,2019-07-01,A
205,175,194,2019-07-01,A
206,176,195,2019-07-01,A
207,177,196,2019-07-01,A
208,178,197,2019-07-01,S
209,179,198,2019-07-01,A
210,180,199,2019-07-01,A
211,181,200,2019-07-01,A
212,182,201,2019-07-01,A
213,183,202,2019-07-01,A
214,184,203,2019-07-01,A
215,181,204,2019-07-01,A
216,185,205,2019-07-01,A
217,186,206,2019-07-01,A
218,187,207,2019-07-01,A
219,188,208,2019-07-01,A
220,189,209,2019-07-01,A
221,190,210,2019-07-01,A
222,191,211,2019-07-01,A
223,100,212,2019-07-01,S
224,193,213,2019-07-01,A
225,194,214,2019-07-01,A
226,195,215,2019-07-01,A
227,196,216,2019-07-01,A
228,197,217,2019-07-01,A
229,198,218,2019-07-01,A
230,199,219,2019-07-01,A
231,200,220,2019-07-01,A
232,201,221,2019-07-01,A
233,202,222,2019-07-01,A
234,203,223,2019-07-01,A
235,200,224,2019-07-01,A
236,200,225,2019-07-01,A
237,200,226,2019-07-01,A
238,200,227,2019-07-01,A
239,204,228,2019-07-01,A
240,205,229,2019-07-01,A
241,206,230,2019-07-01,A
242,207,231,2019-07-01,A
243,208,232,2019-07-01,A
244,209,233,2019-07-01,A
245,208,234,2019-07-01,A
246,210,235,2019-07-01,A
247,211,236,2019-07-01,A
248,212,237,2019-07-01,A
249,213,238,2019-07-01,A
250,214,239,2019-07-01,A
251,215,240,2019-07-01,A
252,216,241,2019-07-01,A
253,217,242,2019-07-01,A
254,226,243,2019-07-01,A
255,218,244,2019-07-01,A
256,219,245,2019-07-01,A
257,220,246,2019-07-01,A
258,221,247,2019-07-01,A
259,222,248,2019-07-01,A
260,223,249,2019-07-01,A
261,224,250,2019-07-01,A
262,225,251,2019-07-01,A
263,227,252,2019-07-01,A
264,228,253,2019-07-01,A
265,229,254,2019-07-01,A
266,16,255,2017-07-01,A
267,230,256,2019-07-01,A
268,231,257,2019-07-01,A
269,232,258,2019-07-01,A
270,233,259,2019-07-01,A
271,234,260,2019-07-01,A
272,235,261,2019-07-01,A
273,236,262,2019-07-01,A
274,237,263,2019-07-01,A
275,238,264,2019-07-01,A
276,239,265,2019-07-01,A
277,240,266,2019-07-01,A
278,241,267,2019-07-01,A
279,242,268,2019-07-01,A
280,243,269,2019-07-01,A
281,256,270,2019-07-01,A
282,244,271,2019-07-01,A
283,245,272,2019-07-01,A
284,246,273,2019-07-01,A
285,247,274,2019-07-01,A
286,248,275,2019-07-01,A
287,249,276,2019-07-01,A
288,250,277,2019-07-01,A
289,251,278,2019-07-01,A
290,252,279,2019-07-01,A
291,253,280,2019-07-01,A
292,254,281,2019-07-01,A
293,255,282,2019-07-01,A
294,257,283,2019-07-01,A
295,258,284,2019-07-01,A
296,259,285,2019-07-01,A
297,258,286,2019-07-01,A
298,260,287,2019-07-01,A
299,261,288,2019-07-01,A
300,262,289,2019-07-01,A
301,263,290,2019-07-01,A
302,263,291,2019-07-01,A
303,264,292,2019-07-01,A
304,265,293,2019-07-01,A
305,264,294,2019-07-01,A
306,263,295,2019-07-01,A
307,266,296,2019-07-01,A
308,267,297,2019-07-01,A
309,259,298,2019-07-01,A
310,268,299,2019-07-01,A
311,269,300,2019-07-01,A
312,270,301,2019-07-01,A
313,271,302,2019-07-01,A
314,272,303,2019-07-01,A
315,259,304,2019-07-01,A
316,273,305,2019-07-01,A
317,274,306,2019-07-01,A
318,275,307,2019-07-01,A
319,276,308,2019-07-01,A
320,277,309,2019-07-01,A
321,278,310,2019-07-01,A
322,279,311,2019-07-01,A
323,280,312,2019-07-01,A
324,281,313,2019-07-01,A
325,282,314,2019-07-01,A
326,283,315,2019-07-01,A
327,284,316,2019-07-01,A
328,285,317,2019-07-01,A
329,286,318,2019-07-01,A
330,287,319,2019-07-01,A
331,288,320,2019-07-01,A
332,289,321,2019-07-01,A
333,290,322,2019-07-01,A
334,291,323,2019-07-01,A
335,292,324,2019-07-01,A
336,293,325,2019-07-01,A
337,294,326,2019-07-01,A
338,295,327,2019-07-01,A
339,296,328,2019-07-01,A
340,306,329,2019-07-01,A
341,307,330,2019-07-01,A
342,308,331,2019-07-01,A
343,297,332,2019-07-01,A
344,298,333,2019-07-01,A
345,299,334,2019-07-01,A
346,300,335,2019-07-01,A
347,301,336,2019-07-01,A
348,302,337,2019-07-01,A
349,303,338,2019-07-01,A
350,304,339,2019-07-01,A
351,305,340,2019-07-01,A
352,309,341,2019-07-01,A
353,29,342,2019-07-01,S
354,311,343,2019-07-01,A
355,312,344,2019-07-01,A
356,313,345,2019-07-01,A
357,314,346,2019-07-01,A
358,315,347,2019-07-01,A
359,316,348,2019-07-01,A
360,317,349,2019-07-01,A
361,319,350,2019-07-01,A
362,318,351,2019-07-01,A
363,320,352,2019-07-01,A
364,321,353,2019-07-01,A
365,322,354,2019-07-01,A
366,323,355,2019-07-01,A
367,324,356,2019-07-01,A
368,325,357,2019-07-01,A
369,326,358,2019-07-01,A
370,325,359,2019-07-01,A
371,327,360,2019-07-01,A
372,328,361,2019-07-01,A
373,329,362,2019-07-01,A
374,330,363,2019-07-01,A
375,331,364,2019-07-01,A
376,332,365,2019-07-01,A
377,333,366,2019-07-01,A
378,334,367,2019-07-01,A
379,335,368,2019-07-01,A
380,336,369,2019-07-01,A
381,337,370,2019-07-01,A
382,338,371,2019-07-01,A
383,339,372,2019-07-01,A
384,335,373,2019-07-01,A
385,340,374,2019-07-01,A
386,341,375,2019-07-01,A
387,342,376,2019-07-01,A
388,343,377,2019-07-01,A
389,344,378,2019-07-01,A
390,345,379,2019-07-01,A
391,346,380,2019-07-01,A
392,347,381,2019-07-01,A
393,348,382,2019-07-01,A
394,349,383,2019-07-01,A
395,350,384,2019-07-01,A
396,351,385,2019-07-01,A
397,352,386,2019-07-01,A
398,353,387,2019-07-01,A
399,354,388,2019-07-01,A
400,355,389,2019-07-01,A
401,356,390,2019-07-01,A
402,357,391,2019-07-01,A
403,358,392,2019-07-01,A
404,359,393,2019-07-01,A
405,360,394,2019-07-01,A
406,361,395,2019-07-01,A
407,362,396,2019-07-01,A
408,363,397,2019-07-01,A
409,364,398,2019-07-01,A
410,365,399,2019-07-01,A
411,366,400,2019-07-01,A
412,367,401,2019-07-01,A
413,368,402,2019-07-01,A
414,372,403,2019-07-01,A
415,369,404,2019-07-01,A
416,370,405,2019-07-01,A
417,371,406,2019-07-01,A
418,365,407,2019-07-01,A
419,373,408,2019-07-01,A
420,374,409,2019-07-01,A
421,375,410,2019-07-01,A
422,376,411,2019-07-01,A
423,377,412,2019-07-01,A
424,378,413,2019-07-01,A
425,379,414,2019-07-01,A
426,380,415,2019-07-01,A
427,381,416,2019-07-01,A
428,382,417,2019-07-01,A
429,383,418,2019-07-01,A
430,384,419,2019-07-01,A
431,385,420,2019-07-01,A
432,386,421,2019-07-01,A
433,387,422,2019-07-01,A
434,388,423,2019-07-01,A
435,389,424,2019-07-01,A
436,390,425,2019-07-01,A
437,391,426,2019-07-01,A
438,392,427,2019-07-01,A
439,393,428,2019-07-01,A
440,394,429,2019-07-01,A
441,395,430,2019-07-01,A
442,396,431,2019-07-01,A
443,397,432,2019-07-01,A
444,398,433,2019-07-01,A
445,399,434,2019-07-01,A
446,400,435,2019-07-01,A
447,401,436,2019-07-01,A
448,402,437,2019-07-01,A
449,403,438,2019-07-01,A
450,405,439,2019-07-01,S
451,404,439,2019-07-01,A
452,406,440,2019-07-01,A
453,407,441,2019-07-01,A
454,408,442,2019-07-01,A
455,409,443,2019-07-01,A
456,409,444,2019-07-01,A
457,410,445,2019-07-01,A
458,411,446,2019-07-01,A
459,412,447,2019-07-01,A
460,413,448,2019-07-01,A
461,414,449,2019-07-01,A
462,415,450,2019-07-01,A
463,416,451,2019-07-01,A
464,417,452,2019-07-01,A
465,9,453,2019-07-01,A
466,419,454,2019-07-01,A
467,4,455,2019-07-01,A
468,420,456,2019-07-01,A
469,421,457,2019-07-01,S
470,421,458,2019-07-01,S
471,422,459,2019-07-01,A
472,423,460,2019-07-01,A
473,424,461,2019-07-01,A
474,425,462,2019-07-01,A
475,425,463,2019-07-01,A
476,49,464,2019-07-01,S
477,427,465,2019-07-01,A
478,428,466,2019-07-01,A
479,429,467,2019-07-01,A
480,418,468,2019-07-01,A
481,430,469,2019-07-01,A
482,431,470,2019-07-01,A
483,432,471,2019-07-01,A
484,108,472,2019-07-01,A
485,433,473,2019-07-01,A
486,434,474,2019-07-01,A
487,435,475,2019-07-01,A
488,178,476,2019-07-01,A
489,432,477,2019-07-01,A
490,436,478,2019-07-01,A
491,437,479,2019-07-01,A
492,438,480,2019-07-01,A
493,439,481,2019-07-01,A
494,440,482,2019-07-01,A
495,441,483,2019-07-01,A
496,442,484,2019-07-01,A
497,443,485,2019-07-01,A
498,444,486,2019-07-01,A
499,445,487,2019-07-01,A
500,446,488,2019-07-01,A
501,447,489,2019-07-01,S
502,448,490,2019-07-01,A
503,449,491,2019-07-01,A
504,450,492,2019-07-01,A
505,451,493,2019-07-01,A
506,452,494,2019-07-01,A
507,453,495,2019-07-01,A
508,454,496,2019-07-01,A
509,455,497,2019-07-01,A
510,456,498,2019-07-01,A
511,457,499,2019-07-01,A
512,458,500,2019-07-01,A
513,459,501,2019-07-01,A
514,460,502,2019-07-01,A
515,461,503,2019-07-01,A
516,461,504,2019-07-01,A
517,462,505,2019-07-01,A
518,463,506,2019-07-01,A
519,464,507,2019-07-01,A
520,465,121,2019-01-01,A
521,466,124,2019-01-01,A
522,466,3,2019-01-01,A
523,467,197,2019-01-01,A
524,468,508,2019-01-01,A
525,469,509,2019-01-01,S
526,470,510,2015-12-20,A
527,471,511,2019-07-01,A
528,472,512,2019-07-01,A
529,473,513,2019-07-01,A
530,474,514,2019-07-01,A
531,475,515,2019-07-01,A
532,476,516,2019-07-01,A
533,477,517,2019-07-01,A
534,478,518,2019-07-01,A
535,479,519,2019-07-01,A
536,480,520,2019-07-01,A
537,481,521,2019-07-01,A
538,482,522,2019-07-01,A
539,483,523,2019-07-01,A
540,484,524,2019-07-01,A
541,498,525,2019-07-01,A
542,499,526,2019-07-01,A
543,485,527,2016-01-01,A
544,486,528,2019-07-01,A
545,487,529,2019-07-01,A
546,488,530,2019-07-01,A
547,489,531,2019-07-01,A
548,490,532,2019-07-01,A
549,491,533,2019-07-01,A
550,492,534,2019-07-01,A
551,493,535,2019-07-01,A
552,494,536,2019-07-01,A
553,495,537,2019-07-01,A
554,496,538,2019-07-01,A
555,497,539,2019-07-01,A
556,192,212,2019-01-01,A
557,500,540,2019-01-01,A
558,500,541,2019-01-01,A
559,500,542,2019-01-01,A
560,500,543,2019-01-01,A
561,500,544,2019-01-01,A
562,500,545,2019-07-01,A
563,500,546,2019-01-01,A
564,500,547,2019-01-01,A
565,500,548,2019-01-01,A
566,500,549,2019-01-01,A
567,501,550,2019-01-01,A
568,501,551,2019-01-01,A
569,501,552,2019-01-01,A
570,501,553,2019-01-01,A
571,501,554,2019-01-01,A
572,501,555,2019-01-01,A
573,501,556,2019-01-01,A
574,502,557,2019-01-01,A
575,502,558,2019-01-01,A
576,502,559,2019-01-01,A
577,502,560,2019-01-01,A
578,502,561,2019-01-01,A
579,502,562,2019-01-01,A
580,503,563,2019-01-01,A
581,503,564,2019-07-01,A
582,503,565,2019-01-01,A
583,503,566,2019-01-01,A
584,504,567,2019-01-01,A
585,504,568,2019-01-01,A
586,504,569,2019-01-01,A
587,504,570,2019-01-01,A
588,505,571,2019-01-01,A
589,505,572,2019-01-01,A
590,505,573,2019-01-01,A
591,505,574,2019-01-01,A
592,505,575,2019-01-01,A
593,505,576,2019-01-01,A
594,506,577,2019-01-01,A
595,506,578,2019-01-01,A
596,506,579,2019-01-01,A
597,506,580,2019-01-01,A
598,506,581,2019-01-01,A
599,310,342,2019-01-01,A
600,507,582,2019-01-01,A
601,507,583,2019-01-01,A
602,508,584,2007-02-24,A
603,509,585,1998-07-05,A
604,510,586,1993-03-01,A
605,511,587,2009-09-29,A
606,512,588,1997-07-01,A
607,514,589,1983-04-11,A
608,513,590,1996-01-01,A
609,515,591,1998-07-28,A
610,516,592,1994-07-01,A
611,517,593,2019-01-01,A
612,518,594,1999-07-01,A
613,519,595,2002-07-01,A
614,521,596,2018-04-29,A
615,281,597,2019-01-01,A
616,520,598,2019-07-05,A
617,522,599,2019-01-01,A
618,523,600,1997-02-01,A
619,523,601,2020-01-01,A
620,26,602,2019-01-01,A
621,524,603,2019-01-01,A
622,525,604,2019-01-01,A
623,526,605,2008-10-15,A
624,527,606,2014-02-02,A
625,528,607,2019-01-01,A
626,529,608,1995-09-14,A
627,530,609,2002-06-01,A
628,531,610,1999-01-01,A
629,532,611,2007-11-01,A
630,533,612,2000-03-25,A
631,534,613,2004-01-01,A
632,535,614,1994-07-01,A
633,536,615,2013-11-28,A
634,537,616,2019-01-01,A
635,538,617,2019-07-01,A
636,539,618,2019-07-01,A
637,540,619,2005-02-01,A
638,541,620,2005-03-13,A
639,542,621,2002-02-25,A
640,185,622,2003-07-01,A
641,543,623,1996-07-01,A
642,544,624,1997-01-06,A
643,544,625,2019-07-01,S
644,545,625,2019-01-01,A
645,546,626,1999-10-01,A
646,547,627,2012-07-01,A
647,548,628,1996-05-08,A
648,549,629,2007-02-27,A
649,550,630,2017-03-01,A
650,242,631,2004-01-01,S
651,551,632,2019-07-01,A
652,552,633,2000-01-01,A
653,553,634,1992-12-06,A
654,554,635,2019-07-01,A
655,555,636,2019-07-01,A
656,556,637,2019-07-01,A
657,557,638,2019-07-01,A
658,558,639,2002-01-01,A
659,559,640,2019-07-01,A
660,560,641,2019-07-01,A
661,561,642,2019-07-01,A
662,562,643,2019-07-01,A
663,563,644,2019-07-01,A
664,564,645,2019-07-01,A
665,565,646,2019-07-01,A
666,566,647,2019-07-01,A
667,567,648,2019-07-01,A
668,568,649,2019-07-01,A
669,569,650,1994-05-01,A
670,570,651,2019-07-01,A
671,571,652,2019-07-01,A
672,572,653,2019-07-01,A
673,573,654,2019-07-01,A
674,574,655,2019-07-01,A
675,575,656,2019-07-01,A
676,576,657,1992-07-01,A
677,577,658,2007-07-01,A
678,578,659,2012-09-01,A
679,579,660,2019-07-01,A
680,580,661,2003-08-28,A
681,581,662,1997-07-01,A
682,582,663,2009-01-01,A
683,583,664,2005-01-01,A
684,581,665,2003-11-17,A
685,584,666,1992-09-04,A
686,585,667,2019-07-01,A
687,586,668,2019-07-01,A
688,587,669,2019-07-01,A
689,588,670,2019-07-01,A
690,589,671,2019-07-01,A
691,590,672,2019-07-01,A
692,591,673,2019-07-01,A
693,592,674,2019-07-01,A
694,593,675,2019-07-01,A
695,594,676,2019-07-01,A
696,597,677,1999-07-01,A
697,601,678,2019-07-01,A
698,600,679,1996-08-01,A
699,599,680,2019-07-01,A
700,598,681,2019-07-01,A
701,602,682,1994-01-01,A
702,603,683,1997-01-01,A
703,612,684,2012-12-25,A
704,604,685,2019-07-01,A
705,605,686,2012-01-01,A
706,606,687,2019-07-01,A
707,613,688,2000-08-01,A
708,614,689,2013-11-01,A
709,615,690,2006-07-01,A
710,11,691,1996-08-01,S
711,607,691,1996-08-01,A
712,608,692,1990-08-01,A
713,609,693,2018-07-01,A
714,610,694,1995-07-01,A
715,611,695,1995-12-20,A
716,616,696,2016-07-10,A
717,617,697,2006-02-01,A
718,618,698,2000-07-01,A
719,619,699,2013-07-01,A
720,490,700,2013-04-01,A
721,639,701,2017-07-03,A
722,621,702,2019-07-01,A
723,622,703,2019-07-01,A
724,623,704,2019-07-01,A
725,624,705,2019-07-01,A
726,625,706,2019-07-01,A
727,626,707,2019-07-01,A
728,625,708,2019-07-01,A
729,627,709,2019-07-01,A
730,628,710,2019-07-01,A
731,629,711,2019-07-01,A
732,630,712,2019-07-01,A
733,631,713,2019-07-01,A
734,632,714,2019-07-01,A
735,633,715,2019-07-01,A
736,634,716,2019-07-01,A
737,635,717,2019-07-01,A
738,636,718,2019-07-01,A
739,637,719,2019-07-01,A
740,638,720,2019-07-01,A
741,664,721,2019-07-01,A
742,665,722,2019-07-01,A
743,5,723,2019-07-01,S
744,667,724,2019-07-01,A
745,641,725,2019-07-01,A
746,642,726,2019-07-01,A
747,643,727,2019-07-01,A
748,644,728,2019-07-01,A
749,645,729,2019-07-01,A
750,646,730,2019-07-01,A
751,647,731,2019-07-01,A
752,648,732,2019-07-01,A
753,649,733,2019-07-01,A
754,650,734,2019-07-01,A
755,651,735,2019-07-01,A
756,652,736,2019-07-01,A
757,653,737,2019-07-01,A
758,654,738,2019-07-01,A
759,655,739,2019-07-01,A
760,656,740,2019-07-01,A
761,657,741,2019-07-01,A
762,658,742,2019-07-01,A
763,659,743,2019-07-01,A
764,660,744,2019-07-01,A
765,661,745,2019-07-01,A
766,662,746,2019-07-01,A
767,640,747,2019-07-01,A
768,649,748,2019-07-01,A
769,663,749,2019-07-01,A
770,668,750,2019-07-01,A
771,669,751,2019-07-01,A
772,670,752,2019-07-01,A
773,671,753,2019-07-01,A
774,672,754,2019-07-01,A
775,672,755,2019-07-01,S
776,673,756,2019-07-01,A
777,674,757,2019-07-01,A
778,675,758,2019-07-01,A
779,676,759,2019-07-01,A
780,677,760,2019-07-01,A
781,678,761,2019-07-01,A
782,571,762,2019-07-01,A
783,679,763,2019-07-01,A
784,680,764,2019-07-01,A
785,681,765,2019-07-01,A
786,682,766,2019-07-01,A
787,683,767,2019-07-01,A
788,684,768,2019-07-01,A
789,685,769,2019-07-01,A
790,686,770,2019-07-01,A
791,687,771,2019-07-01,A
792,688,772,2019-07-01,A
793,689,773,2019-07-01,A
794,690,774,2019-07-01,A
795,691,775,2019-07-01,A
796,692,776,2019-07-01,A
797,693,777,2019-07-01,A
798,694,778,2019-07-01,A
799,695,779,2019-07-01,A
800,696,780,2019-07-01,A
801,697,781,2019-07-01,A
802,698,782,2019-07-01,A
803,699,783,2019-07-01,A
804,700,784,2019-07-01,A
805,701,785,2019-07-01,A
806,702,786,2019-07-01,A
807,703,787,2019-07-01,A
808,703,788,2019-07-01,S
809,704,788,2019-01-01,A
810,705,789,2019-07-01,A
811,706,790,2019-07-01,A
812,707,791,2019-07-01,A
813,708,792,2019-07-01,A
814,709,793,2019-07-01,A
815,710,794,2019-07-01,A
816,708,795,2019-07-01,A
817,711,796,2019-07-01,A
818,712,797,2019-07-01,A
819,714,798,2019-07-01,A
820,713,799,2019-07-01,A
821,715,800,2019-07-01,A
822,716,801,2019-07-01,A
823,717,802,2019-07-01,A
824,718,803,2019-07-01,A
825,719,804,2019-07-01,A
826,720,805,2019-07-01,A
827,721,806,2019-07-01,A
828,722,807,2019-07-01,A
829,723,808,2019-07-01,A
830,724,809,2019-07-01,A
831,725,810,2019-07-01,A
832,726,811,2019-07-01,A
833,727,812,2019-07-01,A
834,728,813,2019-07-01,A
835,729,814,2019-07-01,A
836,730,815,2019-07-01,A
837,731,816,2019-07-01,A
838,732,817,2019-07-01,A
839,733,818,2019-07-01,A
840,734,819,2019-07-01,A
841,735,820,2019-07-01,A
842,736,821,2019-07-01,A
843,737,822,2019-07-01,A
844,738,823,2019-07-01,A
845,202,824,2019-07-01,A
846,740,825,2019-07-01,A
847,745,826,2019-07-01,A
848,744,827,2019-07-01,A
849,743,828,2019-07-01,A
850,742,829,2019-07-01,A
851,741,830,2019-07-01,A
852,739,831,2019-07-01,A
853,739,832,2019-07-01,A
854,739,833,2019-07-01,A
855,739,834,2019-07-01,A
856,739,835,2019-07-01,A
857,739,836,2019-07-01,A
858,739,837,2019-07-01,A
859,739,838,2019-07-01,S
860,739,839,2019-07-01,A
861,739,840,2019-07-01,A
862,739,841,2019-07-01,A
863,739,842,2019-07-01,A
864,746,843,2019-07-01,A
865,747,844,2019-07-01,A
866,748,845,2019-07-01,A
867,749,846,2019-07-01,A
868,750,847,2019-07-01,A
869,751,848,2019-07-01,A
870,752,849,2019-07-01,A
871,753,850,2019-07-01,A
872,754,851,2019-07-01,A
873,755,852,2019-07-01,A
874,756,853,2019-07-01,A
875,757,854,2019-07-01,A
876,758,855,2019-07-01,S
877,759,856,2019-07-01,A
878,760,857,2019-07-01,A
879,761,858,2019-07-01,A
880,762,859,2019-07-01,A
881,763,860,2019-07-01,A
882,764,861,2019-07-01,A
883,765,862,2019-07-01,A
884,766,863,2019-07-01,A
885,767,864,2019-07-01,A
886,768,865,2019-07-01,A
887,769,866,2019-07-01,A
888,770,867,2019-07-01,A
889,771,868,2019-07-01,A
890,772,869,2019-07-01,A
891,773,870,2019-07-01,A
892,774,871,2019-07-01,A
893,775,872,2019-07-01,A
894,776,873,2019-07-01,A
895,777,874,2019-07-01,A
896,778,875,2019-07-01,A
897,779,876,2019-07-01,A
898,780,877,2019-07-01,A
899,781,878,2019-07-01,A
900,782,879,2019-07-01,A
901,783,880,2019-07-01,A
902,784,881,2019-07-01,A
903,785,882,2019-07-01,A
904,786,883,2019-07-01,A
905,787,884,2019-07-01,A
906,788,885,2019-07-01,A
907,789,886,2019-07-01,A
908,790,887,2019-07-01,A
909,791,888,2019-07-01,A
910,792,889,2019-07-01,A
911,793,890,2019-07-01,A
912,794,891,2019-07-01,A
913,795,892,2019-07-01,A
914,796,893,2019-07-01,A
915,797,894,2019-07-01,A
916,798,895,2019-07-01,A
917,799,896,2019-07-01,A
918,800,897,2019-07-01,A
919,801,898,2019-07-01,A
920,802,899,2019-07-01,A
921,803,900,2019-07-01,A
922,804,901,2019-07-01,A
923,805,902,2019-07-01,A
924,806,903,2019-07-01,A
925,807,904,2019-07-01,A
926,808,905,2019-07-01,A
927,809,906,2019-07-01,A
928,810,907,2019-07-01,A
929,811,908,2019-07-01,A
930,812,909,2019-07-01,A
931,813,910,2019-07-01,A
