sid,did,scode,name,paddress,address,phone,email,cby,cdate,time,edate
60,8,1,GAIRO ,GAIRO ,P.O.Box 542273,718988006,gairo @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
61,8,2,KIDETE STATION ,KIDETE STATION ,P.O.Box 542275,718988008,kidete station @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
62,8,3,KILOSA MJINI ,KILOSA MJINI ,P.O.Box 542277,718988010,kilosa mjini @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
63,8,4,MVUMI KILOSA,MVUMI KILOSA,P.O.Box 542279,718988012,mvumi kilosa@tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
64,8,5,ZOMBO ,ZOMBO ,P.O.Box 542281,718988014,zombo @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
65,9,1,IGUGUNO,IGUGUNO,P.O.Box 542283,718988016,iguguno@tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
66,9,2,ISANZU,ISANZU,P.O.Box 542285,718988018,isanzu@tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
67,9,3,KIOMBOI ,KIOMBOI ,P.O.Box 542287,718988020,kiomboi @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
68,9,4,MKALAMA ,MKALAMA ,P.O.Box 542289,718988022,mkalama @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
69,9,6,MTINKO MAGHARIBI,MTINKO MAGHARIBI,P.O.Box 542291,718988024,mtinko magharibi@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
70,9,5,MTINKO MASHARIKI ,MTINKO MASHARIKI ,P.O.Box 542293,718988026,mtinko mashariki @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
71,9,7,MWANGA (SINGIDA) ,MWANGA (SINGIDA) ,P.O.Box 542295,718988028,mwanga (singida) @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
72,9,8,NDUGUTI ,NDUGUTI ,P.O.Box 542297,718988030,nduguti @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
73,9,9,SHELUI ,SHELUI ,P.O.Box 542299,718988032,shelui @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
74,9,10,USHORA,USHORA,P.O.Box 542301,718988034,ushora@tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
75,10,1,BONDE LA UFA ,BONDE LA UFA ,P.O.Box 542303,718988036,bonde la ufa @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
76,10,2,IKUNGI MAGHARIBI ,IKUNGI MAGHARIBI ,P.O.Box 542305,718988038,ikungi magharibi @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
77,10,3,IKUNGI MASHARIKI ,IKUNGI MASHARIKI ,P.O.Box 542307,718988040,ikungi mashariki @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
78,10,4,ILONGERO ,ILONGERO ,P.O.Box 542309,718988042,ilongero @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
79,10,5,SINGIDA MAGHARIBI ,SINGIDA MAGHARIBI ,P.O.Box 542311,718988044,singida magharibi @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
80,10,6,SINGIDA MJINI KATI ,SINGIDA MJINI KATI ,P.O.Box 542313,718988046,singida mjini kati @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
81,10,7,SINGIDA MJINI MASHARIKI ,SINGIDA MJINI MASHARIKI ,P.O.Box 542315,718988048,singida mjini mashariki @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
82,11,1,ITIGI  KUSINI,ITIGI ,P.O.BOX 542317,718988050,,1,2019-01-01,10:18:00,19/07/2022 11:31
83,11,2,MANYONI KUSINI,MANYONI KUSINI,P.O.Box 542319,718988052,manyoni kusini@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
84,11,3,MANYONI MASHARIKI,MANYONI MASHARIKI,P.O.Box 542321,718988054,manyoni mashariki@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
85,11,4,MANYONI MJINI ,MANYONI MJINI ,P.O.Box 542323,718988056,manyoni mjini @tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
86,12,1,BUGANDO,BUGANDO,P.O.Box 542325,718988058,bugando@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
87,12,2,BUKOLI,BUKOLI,P.O.Box 542327,718988060,bukoli@tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
88,12,3,GEITA MJINI,GEITA MJINI,P.O.Box 542329,718988062,geita mjini@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
89,12,4,KASAMWA,KASAMWA,P.O.Box 542331,718988064,kasamwa@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
90,12,5,MSALALA,MSALALA,P.O.Box 542333,718988066,msalala@tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
91,12,6,NZERA,NZERA,P.O.Box 542335,718988068,nzera@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
92,13,1,BUKOMBE KASKAZINI,BUKOMBE KASKAZINI,P.O.Box 542337,718988070,bukombe kaskazini@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
93,13,2,BUKOMBE KUSINI,BUKOMBE KUSINI,P.O.Box 542339,718988072,bukombe kusini@tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
94,13,3,MBOGWE KASKAZIN,MBOGWE KASKAZIN,P.O.Box 542341,718988074,mbogwe kaskazin@tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
95,13,4,MBOGWE KUSINI,MBOGWE KUSINI,P.O.Box 542343,718988076,mbogwe kusini@tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
96,13,5,MBOGWE MAGHARIBI,MBOGWE MAGHARIBI,P.O.Box 542345,718988078,mbogwe magharibi@tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
97,13,6,RUNZEWE KASKAZINI,RUNZEWE KASKAZINI,P.O.Box 542347,718988080,runzewe kaskazini@tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
98,13,7,RUNZEWE KUSINI,RUNZEWE KUSINI,P.O.Box 542349,718988082,runzewe kusini@tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
99,13,8,RUNZEWE MASHARIKI,RUNZEWE MASHARIKI,P.O.Box 542351,718988084,runzewe mashariki@tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
100,14,1,BUSERESERE,BUSERESERE,P.O.Box 542353,718988086,buseresere@tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
101,14,2,BUTUNDWE,BUTUNDWE,P.O.Box 542355,718988088,butundwe@tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
102,14,3,CHATO,CHATO,P.O.Box 542357,718988090,chato@tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
103,14,4,KATORO KASKAZINI,KATORO ,P.O.BOX 542359,718988092,,1,2019-01-01,12:33:00,08/07/2022 03:59
104,15,1,BUGABO,BUGABO,P.O.Box 542361,718988094,bugabo@tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
105,15,2,BUKOBA MANISPAA,BUKOBA MANISPAA,P.O.Box 542363,718988096,bukoba manispaa@tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
106,15,3,IKIMBA ,IKIMBA ,P.O.BOX 542365,718988098,,1,2019-01-01,12:35:00,16/10/2021 08:48
107,15,5,KYAMTWALA-INA WATU,KAGERA,KAGERA,754407240,,5,2019-01-01,08:48:46,20/07/2022 08:51
108,15,4,MISENYI,MISENYI,P.O.Box 542367,718988100,misenyi@tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
109,16,3,BIHARAMULO ,BIHARAMULO ,P.O.Box 542369,718988102,biharamulo @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
110,16,4,KABINDI ,KABINDI ,P.O.Box 542371,718988104,kabindi @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
111,16,5,LUSAHUNGA ,LUSAHUNGA ,P.O.Box 542373,718988106,lusahunga @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
112,16,6,MULEBA KASKAZINI ,MULEBA KASKAZINI ,P.O.Box 542375,718988108,muleba kaskazini @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
113,16,1,MULEBA KUSINI ,MULEBA KUSINI ,P.O.Box 542377,718988110,muleba kusini @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
114,16,2,NYAKANAZI ,NYAKANAZI ,P.O.Box 542379,718988112,nyakanazi @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
115,17,1,KARAGWE,KARAGWE,P.O.Box 542381,718988114,karagwe@tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
116,17,2,KARAGWE KASKAZINI,KARAGWE KASKAZINI,P.O.Box 542383,718988116,karagwe kaskazini@tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
117,17,3,KARAGWE KUSINI,KARAGWE KUSINI,P.O.Box 542385,718988118,karagwe kusini@tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
118,17,4,KYERWA KASKAZINI,KYERWA KASKAZINI,P.O.Box 542387,718988120,kyerwa kaskazini@tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
119,17,5,KYERWA KUSINI,KYERWA KUSINI,P.O.Box 542389,718988122,kyerwa kusini@tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
120,17,6,NGARA MAGHARIBI,NGARA MAGHARIBI,P.O.Box 542391,718988124,ngara magharibi@tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
121,17,7,NGARA MASHARIKI,NGARA MASHARIKI,P.O.Box 542393,718988126,ngara mashariki@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
122,17,8,NKWENDA KASKAZINI,NKWENDA KASKAZINI,P.O.Box 542395,718988128,nkwenda kaskazini@tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
123,17,9,NKWENDA KUSINI,NKWENDA KUSINI,P.O.Box 542397,718988130,nkwenda kusini@tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
124,18,1,RORYA ,RORYA ,P.O.Box 542399,718988132,rorya @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
125,18,2,SHIRATI ,SHIRATI ,P.O.Box 542401,718988134,shirati @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
126,19,1,BUNDA ,BUNDA ,P.O.Box 542403,718988136,bunda @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
127,19,2,KIABAKARI ,KIABAKARI ,P.O.Box 542405,718988138,kiabakari @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
128,19,3,MAJITA ,MAJITA ,P.O.Box 542407,718988140,majita @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
129,19,4,MUSOMA MAGHARIBI ,MUSOMA MAGHARIBI ,P.O.Box 542409,718988142,musoma magharibi @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
130,19,5,MUSOMA MASHARIKI ,MUSOMA MASHARIKI ,P.O.Box 542411,718988144,musoma mashariki @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
131,19,6,MWIBARA ,MWIBARA ,P.O.Box 542413,718988146,mwibara @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
132,19,7,UTEGI ,UTEGI ,P.O.Box 542415,718988148,utegi @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
133,20,1,BUTIAMA ,BUTIAMA ,P.O.Box 542417,718988150,butiama @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
134,20,2,IKIZU ,IKIZU ,P.O.Box 542419,718988152,ikizu @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
135,20,3,KIAGATA ,KIAGATA ,P.O.Box 542421,718988154,kiagata @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
136,20,4,NGOREME ,NGOREME ,P.O.Box 542423,718988156,ngoreme @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
137,20,5,SERENGETI ,SERENGETI ,P.O.Box 542425,718988158,serengeti @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
138,20,6,TARIME MAGHARIBI ,TARIME MAGHARIBI ,P.O.Box 542427,718988160,tarime magharibi @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
139,20,7,TARIME MASHARIKI ,TARIME MASHARIKI ,P.O.Box 542429,718988162,tarime mashariki @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
140,21,1,ILEMELA KASKAZINI ,ILEMELA KASKAZINI ,P.O.Box 542431,718988164,ilemela kaskazini @tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
141,21,2,ILEMELA KUSINI ,ILEMELA KUSINI ,P.O.Box 542433,718988166,ilemela kusini @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
142,21,3,ILEMELA MASHARIKI ,ILEMELA MASHARIKI ,P.O.Box 542435,718988168,ilemela mashariki @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
143,21,4,MAGU,MAGU,P.O.Box 542437,718988170,magu@tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
144,21,5,NDAGALU ,NDAGALU ,P.O.Box 542439,718988172,ndagalu @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
145,21,6,UKEREWE KASKAZINI ,UKEREWE KASKAZINI ,P.O.Box 542441,718988174,ukerewe kaskazini @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
146,21,7,UKEREWE KUSINI ,UKEREWE KUSINI ,P.O.Box 542443,718988176,ukerewe kusini @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
147,22,5,KWIMBA ,KWIMBA ,P.O.Box 542445,718988178,kwimba @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
148,22,6,MISUNGWI ,MISUNGWI ,P.O.Box 542447,718988180,misungwi @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
149,22,7,MKOLANI ,MKOLANI ,P.O.Box 542449,718988182,mkolani @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
150,22,1,NYAMAGANA KASKAZINI ,NYAMAGANA KASKAZINI ,P.O.Box 542451,718988184,nyamagana kaskazini @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
151,22,2,NYAMAGANA KUSINI ,NYAMAGANA KUSINI ,P.O.Box 542453,718988186,nyamagana kusini @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
152,22,3,NYAMAGANA MJINI KATI ,NYAMAGANA MJINI KATI ,P.O.Box 542455,718988188,nyamagana mjini kati @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
153,22,4,USAGARA ,USAGARA ,P.O.Box 542457,718988190,usagara @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
154,23,1,BUCHOSA ,BUCHOSA ,P.O.Box 542459,718988192,buchosa @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
155,23,2,BUSAMBILO ,BUSAMBILO ,P.O.Box 542461,718988194,busambilo @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
156,23,3,KAHUNDA ,KAHUNDA ,P.O.Box 542463,718988196,kahunda @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
157,23,4,SENGEREMA ,SENGEREMA ,P.O.Box 542465,718988198,sengerema @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
158,24,1,BARIADI ,BARIADI ,P.O.Box 542467,718988200,bariadi @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
159,24,2,DUTWA ,DUTWA ,P.O.Box 542469,718988202,dutwa @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
160,24,3,ITILIMA ,ITILIMA ,P.O.Box 542471,718988204,itilima @tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
161,24,4,LAMADI UTALII ,LAMADI UTALII ,P.O.Box 542473,718988206,lamadi utalii @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
162,24,5,LUGURU ,LUGURU ,P.O.Box 542475,718988208,luguru @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
163,24,6,NASSA-BUSEGA ,NASSA-BUSEGA ,P.O.Box 542477,718988210,nassa-busega @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
164,25,1,BUKUNDI,BUKUNDI,P.O.Box 542479,718988212,bukundi@tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
165,25,2,MASWA MAGHARIBI,MASWA ,P.O.BOX 542481,718988214,,1,2019-01-01,12:04:00,01/08/2022 16:46
166,25,3,MWANDOYA ,MWANDOYA ,P.O.Box 542483,718988216,mwandoya @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
167,25,4,MWANHUZI ,MWANHUZI ,P.O.Box 542485,718988218,mwanhuzi @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
168,26,1,BAGAMOYO KASKAZINI ,BAGAMOYO KASKAZINI ,P.O.Box 542487,718988220,bagamoyo kaskazini @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
169,26,2,BAGAMOYO KUSINI ,BAGAMOYO KUSINI ,P.O.Box 542489,718988222,bagamoyo kusini @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
170,26,3,BUNJU ,BUNJU ,P.O.Box 542491,718988224,bunju @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
171,26,4,MBEZI GOBA ,MBEZI GOBA ,P.O.Box 542493,718988226,mbezi goba @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
172,26,5,MBEZI TEGETA ,MBEZI TEGETA ,P.O.Box 542495,718988228,mbezi tegeta @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
173,26,6,TEGETA ,TEGETA ,P.O.Box 542497,718988230,tegeta @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
174,27,1,BUMBULI,BUMBULI,P.O.Box 542499,718988232,bumbuli@tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
